Unnamed: 0,Name,Location,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Car_Age
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,12.7,2179.0,187.7,5.0,27.0,False,False,False,False,False,False,11
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,14.84,2143.0,167.62,5.0,28.0,False,False,False,False,False,False,11
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,13.53,1984.0,177.01,5.0,23.5,False,True,False,False,False,False,10
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,11.74,2987.0,254.8,5.0,28.0,False,False,False,False,False,False,12
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,17.11,1968.0,174.33,5.0,21.43,False,False,False,False,False,False,10
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,11.74,1796.0,186.0,5.0,26.7,False,True,False,False,False,False,10
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,0.0,1950.0,194.0,5.0,35.67,False,False,False,False,False,False,6
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,18.53,1968.0,187.74,5.0,29.5,False,False,False,False,True,False,11
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,17.68,1968.0,174.33,5.0,39.58,False,False,False,False,False,False,7
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,14.74,2993.0,270.9,5.0,24.0,False,False,False,False,True,False,14
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,22.69,1995.0,190.0,5.0,20.75,False,False,False,False,False,False,10
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,19.0,2996.0,362.07,2.0,54.0,False,True,False,False,False,False,8
148,Audi RS5 Coupe,Mumbai,2013,23000,11.05,2894.0,444.0,4.0,37.0,False,True,False,False,False,False,12
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,21.76,1995.0,190.0,5.0,26.5,False,False,False,False,False,False,11
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,17.11,1968.0,174.33,5.0,23.32,False,False,False,False,False,False,10
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,7.81,5461.0,362.9,5.0,30.0,False,True,False,False,False,False,15
168,BMW X5 xDrive 30d,Mumbai,2015,41000,15.3,2993.0,258.0,5.0,45.0,False,False,False,False,False,False,10
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,19.27,2143.0,167.62,5.0,33.66,False,False,False,False,False,False,8
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,17.9,2143.0,170.0,5.0,42.5,False,False,False,False,False,False,9
176,Mini Countryman Cooper D,Jaipur,2017,8525,16.6,1998.0,112.0,5.0,23.0,False,False,False,False,True,False,8
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,17.68,1968.0,174.33,5.0,22.95,False,False,False,False,False,False,11
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,22.48,1995.0,190.0,5.0,33.5,False,False,False,False,False,False,11
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,13.0,2143.0,201.1,5.0,32.0,False,False,False,False,False,False,11
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,12.7,2179.0,187.7,5.0,55.76,False,False,False,False,False,False,7
216,Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,11.8,2967.0,246.7,5.0,45.0,False,False,False,False,False,False,13
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,14.67,1798.0,177.46,5.0,26.0,False,True,False,False,False,False,8
224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,19.27,2143.0,167.62,5.0,39.41,False,False,False,False,False,False,7
228,Mini Cooper Convertible S,Kochi,2017,26327,16.82,1998.0,189.08,4.0,35.67,False,True,False,False,False,False,8
255,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,2018,51346,16.38,1995.0,183.0,5.0,21.99,False,False,False,False,False,False,7
264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,11.57,2987.0,254.79,5.0,61.29,False,False,False,False,False,False,8
271,BMW X3 xDrive30d M Sport,Coimbatore,2017,51982,16.55,2993.0,258.0,5.0,45.77,False,False,False,False,False,False,8
282,Audi Q7 3.0 TDI Quattro Technology,Kochi,2018,11287,12.07,2967.0,241.4,7.0,70.36,False,False,False,False,False,False,7
291,BMW 5 Series 2003-2012 520d,Pune,2015,64000,18.48,1995.0,177.0,5.0,28.0,False,False,False,False,False,False,10
298,Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,13.68,2393.0,147.8,7.0,20.25,False,False,True,False,False,False,9
299,Audi A6 2011-2015 2.0 TDI Technology,Kochi,2015,31652,17.68,1968.0,174.33,5.0,26.78,False,False,False,False,False,False,10
305,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,61726,17.68,1968.0,174.33,5.0,20.77,False,False,False,False,False,False,11
306,Mercedes-Benz GLA Class 200 CDI SPORT,Delhi,2015,48000,17.9,2143.0,136.0,5.0,20.26,False,False,False,False,False,False,10
310,Mercedes-Benz GLE 250d,Hyderabad,2017,29000,17.9,2143.0,201.15,5.0,57.0,False,False,False,False,False,False,8
311,Land Rover Range Rover HSE Dynamic,Delhi,2017,44000,12.7,2179.0,187.7,5.0,44.0,False,False,False,False,False,False,8
325,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,51495,17.68,1968.0,174.33,5.0,21.95,False,False,False,False,False,False,11
326,BMW 6 Series 640d Gran Coupe,Mumbai,2011,30000,9.52,2993.0,313.0,4.0,49.0,False,False,False,False,False,False,14
327,Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,14.75,2967.0,245.0,7.0,62.67,False,False,False,False,False,False,8
348,BMW 3 Series Luxury Line,Kochi,2015,30717,21.76,1995.0,190.0,5.0,25.99,False,False,False,False,True,False,10
355,Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,19.33,1999.0,177.0,5.0,52.0,False,False,False,False,False,False,8
357,Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,14.67,1798.0,177.46,5.0,27.3,False,True,False,False,False,False,6
365,Mini Clubman Cooper S,Pune,2017,8350,13.8,1998.0,192.0,5.0,35.0,False,True,True,False,False,False,8
378,Mercedes-Benz New C-Class 220,Chennai,2014,25000,15.8,2148.0,170.0,5.0,26.0,False,False,True,False,False,False,11
382,Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Jaipur,2014,59364,14.21,2143.0,203.0,5.0,26.5,False,False,False,False,False,False,11
384,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Bangalore,2017,33900,15.0,2143.0,204.0,5.0,37.0,False,False,False,False,False,False,8
389,Jaguar XE Portfolio,Mumbai,2017,9000,13.5,1999.0,246.74,5.0,34.5,False,True,False,False,False,False,8
391,Mini Cooper Convertible 1.6,Bangalore,2015,20000,18.86,1598.0,122.0,4.0,32.0,False,True,False,False,False,False,10
392,Mercedes-Benz S Class 2005 2013 S 350 CDI,Coimbatore,2017,56451,13.5,2987.0,282.0,5.0,62.81,False,False,False,False,False,False,8
399,Land Rover Range Rover 2.2L Dynamic,Hyderabad,2012,56000,12.7,2179.0,187.7,5.0,30.0,False,False,False,False,False,False,13
400,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2010,85001,12.0,2987.0,224.0,7.0,28.0,False,False,False,False,True,False,15
401,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,13.5,2477.0,175.56,7.0,28.0,False,False,False,False,False,False,7
404,Land Rover Range Rover 2.2L Prestige,Coimbatore,2017,34990,12.7,2179.0,187.7,5.0,53.83,False,False,False,False,False,False,8
406,BMW 5 Series 525d Sedan,Hyderabad,2013,56000,16.73,2993.0,218.0,5.0,33.5,False,False,False,False,False,False,12
407,Jaguar XF Diesel,Bangalore,2013,75000,14.74,2993.0,270.9,5.0,27.95,False,False,False,False,False,False,12
409,Audi Q3 35 TDI Quattro Premium,Kochi,2017,37542,15.73,1968.0,174.33,5.0,25.71,False,False,False,False,False,False,8
410,Land Rover Range Rover 2.2L Pure,Coimbatore,2014,95649,12.7,2179.0,187.7,5.0,29.67,False,False,False,False,False,False,11
413,BMW 3 Series Luxury Line,Mumbai,2015,41000,21.76,1995.0,190.0,5.0,25.5,False,False,False,False,False,False,10
418,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,11.5,2996.0,367.0,5.0,70.99,False,True,False,False,False,False,7
423,Audi A6 35 TFSI Matrix,Mumbai,2016,47000,15.26,1798.0,187.74,5.0,24.5,False,True,False,False,False,False,9
427,Mini Cooper Convertible S,Mumbai,2014,11900,16.82,1998.0,189.08,4.0,28.5,False,True,False,False,False,False,11
435,BMW 5 Series 2003-2012 GT 530d LE,Coimbatore,2011,57832,16.2,2993.0,258.0,5.0,25.82,False,False,False,False,False,False,14
437,Volvo V40 D3,Bangalore,2015,33000,16.8,1984.0,150.0,5.0,22.0,False,False,False,False,True,False,10
451,Audi Q5 30 TDI quattro Premium Plus,Bangalore,2014,38000,14.16,1968.0,174.3,5.0,39.0,False,False,False,False,True,False,11
457,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,15.17,1968.0,181.0,5.0,20.37,False,False,False,False,False,False,9
458,BMW 3 Series Luxury Line,Bangalore,2016,19235,21.76,1995.0,190.0,5.0,36.5,False,False,False,False,False,False,9
459,Audi Q7 4.2 TDI Quattro Technology,Coimbatore,2016,51002,11.33,4134.0,335.2,7.0,48.91,False,False,False,False,False,False,9
473,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,12.6,1950.0,191.34,5.0,51.43,False,True,False,False,False,False,7
474,Mercedes-Benz New C-Class 220 CDI MT,Chennai,2014,45000,15.8,2148.0,170.0,5.0,23.0,False,False,True,False,False,False,11
480,Land Rover Range Rover Evoque 2.0 TD4 Pure,Delhi,2015,24000,15.68,1999.0,177.0,5.0,33.5,False,False,False,False,True,False,10
483,Toyota Fortuner 4x4 MT,Coimbatore,2017,47198,12.55,2982.0,168.5,7.0,28.42,False,False,True,False,False,False,8
489,Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,11.0,2987.0,258.0,7.0,56.0,False,False,False,False,False,False,8
503,Toyota Fortuner 4x4 AT,Delhi,2017,25000,12.55,2982.0,168.5,7.0,32.0,False,False,False,False,False,False,8
516,BMW X5 xDrive 30d,Hyderabad,2011,75000,11.7,2993.0,245.0,5.0,27.5,False,False,False,False,False,False,14
521,Land Rover Range Rover HSE Dynamic,Coimbatore,2017,49275,12.7,2179.0,187.7,5.0,45.64,False,False,False,False,False,False,8
524,Audi A6 2011-2015 35 TDI Technology,Coimbatore,2017,41041,17.68,1968.0,174.33,5.0,37.56,False,False,False,False,False,False,8
544,Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,0.0,1950.0,181.43,5.0,38.99,False,True,False,False,False,False,6
549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,20.68,1995.0,190.0,5.0,29.4,False,False,False,False,False,False,8
557,Audi TT 2.0 TFSI,Delhi,2013,12100,9.9,1984.0,207.8,2.0,29.5,False,True,False,False,False,False,12
563,BMW 3 Series 320d Luxury Line,Bangalore,2014,47000,18.88,1995.0,184.0,5.0,25.5,False,False,False,False,False,False,11
566,Jaguar XF 2.2 Litre Luxury,Kochi,2015,37340,16.36,2179.0,187.7,5.0,29.98,False,False,False,False,False,False,10
583,BMW X1 sDrive 20d Sportline,Chennai,2016,21000,17.05,1995.0,184.0,5.0,33.0,False,False,False,False,False,False,9
586,Audi Q7 4.2 TDI Quattro Technology,Kochi,2014,79926,11.33,4134.0,335.2,7.0,29.77,False,False,False,False,False,False,11
593,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,19000,15.97,2993.0,258.0,7.0,44.0,False,False,False,False,False,False,11
596,Audi A6 2011-2015 35 TFSI Technology,Kochi,2016,58953,13.53,1984.0,177.01,5.0,24.22,False,True,False,False,False,False,9
598,Jaguar XF 2.2 Litre Executive,Delhi,2016,10000,16.36,2179.0,187.7,5.0,44.0,False,False,False,False,False,False,9
599,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,11.36,2755.0,171.5,7.0,24.82,False,False,False,False,False,False,6
603,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,17.9,2143.0,170.0,5.0,48.5,False,False,False,False,False,False,7
608,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2016,20967,14.69,2993.0,258.0,5.0,44.56,False,False,False,False,False,False,9
628,Toyota Fortuner 4x2 Manual,Hyderabad,2014,107825,13.0,2982.0,168.5,7.0,20.5,False,False,True,False,False,False,11
632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,20.7,1496.0,113.98,5.0,29.5,False,False,False,False,False,False,9
633,Audi Q3 35 TDI Quattro Premium,Hyderabad,2015,61000,15.73,1968.0,174.33,5.0,25.0,False,False,False,False,False,False,10
640,BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,19658,18.12,1995.0,190.0,5.0,35.84,False,False,False,False,False,False,9
644,BMW 3 Series 320d Highline,Bangalore,2014,69330,16.07,1995.0,181.0,5.0,23.5,False,False,False,False,False,False,11
651,Mercedes-Benz New C-Class C 250 CDI Avantgarde,Coimbatore,2017,25559,19.71,2143.0,201.15,5.0,37.93,False,False,False,False,False,False,8
653,Toyota Fortuner 4x2 4 Speed AT,Jaipur,2015,94000,11.5,2982.0,169.0,7.0,20.5,False,False,False,False,False,False,10
655,Jaguar XJ 2.0L Portfolio,Mumbai,2017,10501,9.43,1999.0,237.4,5.0,75.0,False,True,False,False,False,False,8
659,Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014,49964,17.68,1968.0,174.33,5.0,23.89,False,False,False,False,False,False,11
693,Mercedes-Benz SLK-Class SLK 350,Coimbatore,2016,22732,18.1,3498.0,306.0,2.0,55.54,False,True,False,False,False,False,9
694,Audi A6 2.0 TDI Design Edition,Hyderabad,2014,48000,18.53,1968.0,187.74,5.0,29.0,False,False,False,False,False,False,11
703,Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,2017,50484,10.91,3198.0,197.2,7.0,31.12,False,False,False,False,False,False,8
704,Audi Q5 2008-2012 2.0 TDI,Kochi,2013,13452,12.8,1968.0,167.6,5.0,25.46,False,False,False,False,False,False,12
706,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Chennai,2017,34000,13.0,2143.0,204.0,5.0,36.0,False,False,False,False,False,False,8
707,Mercedes-Benz M-Class ML 350 4Matic,Pune,2014,120000,0.0,2987.0,165.0,5.0,30.0,False,False,False,False,False,False,11
712,BMW X5 xDrive 30d Design Pure Experience 5 Seater,Hyderabad,2015,69000,15.97,2993.0,258.0,5.0,54.0,False,False,False,False,False,False,10
719,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,46983,12.07,2967.0,241.4,7.0,43.35,False,False,False,False,True,False,10
723,BMW 3 Series 320d Luxury Plus,Ahmedabad,2015,100000,18.88,1995.0,184.0,5.0,24.75,False,False,False,False,False,False,10
746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,20.7,1496.0,113.98,5.0,23.5,False,False,False,False,True,False,11
749,Land Rover Range Rover 3.0 D,Mumbai,2008,55001,0.0,,,5.0,26.5,False,False,False,False,True,False,17
751,Jaguar XF 2.2 Litre Luxury,Coimbatore,2016,47877,16.36,2179.0,187.7,5.0,35.68,False,False,False,False,False,False,9
752,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Kochi,2017,43368,15.0,2143.0,204.0,5.0,31.94,False,False,False,False,False,False,8
766,BMW 3 Series 320d Luxury Line,Coimbatore,2016,14351,18.88,1995.0,184.0,5.0,35.55,False,False,False,False,False,False,9
772,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,36797,19.27,2143.0,167.62,5.0,39.47,False,False,False,False,False,False,7
778,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Bangalore,2015,76927,15.73,1968.0,174.33,5.0,22.75,False,False,False,False,False,False,10
798,Mercedes-Benz SLK-Class SLK 350,Bangalore,2015,10000,18.1,3498.0,306.0,2.0,55.0,False,True,False,False,False,False,10
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,17.9,2143.0,201.15,5.0,56.0,False,False,False,False,False,False,9
806,Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,2017,59636,10.91,3198.0,197.0,7.0,29.2,False,False,False,False,False,False,8
818,BMW 5 Series 2003-2012 530d Highline,Coimbatore,2013,108640,11.5,2993.0,235.0,5.0,23.29,False,False,False,False,False,False,12
819,BMW 3 Series 320d M Sport,Mumbai,2016,38000,22.69,1995.0,190.0,5.0,23.99,False,False,False,False,False,False,9
842,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,15.97,2993.0,258.0,7.0,41.5,False,False,False,False,False,False,11
864,Jaguar XF 2.2 Litre Luxury,Coimbatore,2015,44194,16.36,2179.0,187.7,5.0,32.8,False,False,False,False,False,False,10
866,Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,13.0,2987.0,258.0,5.0,50.29,False,False,False,False,False,False,7
873,Toyota Fortuner 4x2 AT,Coimbatore,2015,101337,12.55,2982.0,168.5,7.0,21.67,False,False,False,False,False,False,10
886,Audi TT 40 TFSI,Kolkata,2012,7000,14.33,1984.0,226.6,4.0,35.0,False,True,False,False,False,False,13
895,Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,42076,13.0,2143.0,201.1,5.0,21.8,False,False,False,False,False,False,10
899,Toyota Camry Hybrid,Pune,2018,17000,19.16,2494.0,158.2,5.0,32.0,False,True,False,False,False,False,7
902,Audi A6 2011-2015 2.0 TDI,Hyderabad,2013,70181,17.68,1968.0,174.33,5.0,23.99,False,False,False,False,False,False,12
904,Mercedes-Benz New C-Class C 220 CDI Style,Jaipur,2016,58205,19.27,2143.0,167.62,5.0,27.0,False,False,False,False,False,False,9
913,Audi Q5 30 TDI quattro Premium,Coimbatore,2017,40318,14.16,1968.0,174.3,5.0,43.74,False,False,False,False,False,False,8
918,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Hyderabad,2016,76000,15.97,2993.0,258.0,7.0,58.0,False,False,False,False,False,False,9
939,Jaguar XF Diesel,Kolkata,2012,43510,14.74,2993.0,270.9,5.0,20.5,False,False,False,False,False,False,13
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,15.68,1999.0,177.0,5.0,59.72,False,False,False,False,False,False,7
957,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Pune,2015,50000,19.27,2143.0,167.62,5.0,30.0,False,False,False,False,False,False,10
962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,0.0,1950.0,194.0,5.0,39.5,False,False,False,False,False,False,7
966,Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,13689,17.9,2143.0,136.0,5.0,28.25,False,False,False,False,False,False,8
975,Ford Endeavour 2.2 Trend AT 4X2,Kochi,2019,11209,12.62,2198.0,158.0,7.0,31.15,False,False,False,False,False,False,6
1028,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2014,85000,11.3,2987.0,254.8,7.0,38.75,False,False,False,False,False,False,11
1037,Jaguar XF 2.2 Litre Luxury,Delhi,2014,48000,16.36,2179.0,187.7,5.0,26.5,False,False,False,False,False,False,11
1038,Land Rover Range Rover TDV8 (Diesel),Bangalore,2011,55000,10.2,4367.0,308.0,7.0,67.0,False,False,False,False,False,False,14
1044,Audi A4 35 TDI Technology,Hyderabad,2015,45000,18.25,1968.0,187.74,5.0,25.0,False,False,False,False,False,False,10
1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,11.36,2755.0,171.5,7.0,20.5,False,False,False,False,False,False,9
1076,Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,2016,68000,10.91,3198.0,197.0,7.0,29.5,False,False,False,False,False,False,9
1078,Porsche Boxster S tiptronic,Kolkata,2015,10512,8.6,2706.0,265.0,2.0,64.0,False,True,False,False,False,False,10
1093,Audi Q7 4.2 TDI Quattro Technology,Bangalore,2014,50000,11.33,4134.0,335.2,7.0,51.0,False,False,False,False,False,False,11
1104,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,53735,12.07,2967.0,241.4,7.0,38.94,False,False,False,False,True,False,10
1106,BMW 5 Series 2013-2017 525d Luxury Line,Bangalore,2013,58500,17.09,1995.0,218.0,5.0,27.5,False,False,False,False,True,False,12
1113,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,12.6,1950.0,191.34,5.0,51.35,False,True,False,False,False,False,7
1117,Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,20.7,1496.0,113.98,5.0,22.0,False,False,False,False,False,False,11
1120,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Hyderabad,2013,34700,10.0,2148.0,170.0,5.0,24.5,False,False,False,False,False,False,12
1138,BMW 5 Series 2013-2017 530d M Sport,Bangalore,2015,16900,14.69,2993.0,258.0,5.0,44.0,False,False,False,False,False,False,10
1144,Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,Kochi,2016,35939,12.3,1796.0,185.0,5.0,30.42,False,True,True,False,False,False,9
1192,Volvo S60 D4 Momentum,Hyderabad,2015,51000,27.03,1969.0,190.0,5.0,25.0,False,False,False,False,False,False,10
1194,Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Mumbai,2017,15000,13.0,2987.0,265.0,5.0,69.5,False,False,False,False,False,False,8
1197,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,13.68,2393.0,147.8,7.0,20.4,False,False,True,False,False,False,8
1209,Audi Q7 35 TDI Quattro Premium Plus,Mumbai,2015,65938,12.07,2967.0,241.4,7.0,38.0,False,False,False,False,True,False,10
1220,BMW 5 Series 2013-2017 520d Luxury Line,Ahmedabad,2014,35000,18.12,1995.0,190.0,5.0,23.0,False,False,False,False,True,False,11
1233,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Kochi,2017,36884,13.0,2143.0,204.0,5.0,32.25,False,False,False,False,False,False,8
1237,Audi Q3 2.0 TDI Quattro,Hyderabad,2013,60000,17.32,1968.0,184.0,5.0,21.0,False,False,False,False,False,False,12
1242,Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,13.6,1999.0,177.0,5.0,40.0,False,False,False,False,False,False,7
1245,Toyota Camry 2.5 Hybrid,Pune,2018,17585,19.16,2494.0,157.7,5.0,32.0,False,True,False,False,False,False,7
1246,Audi Q5 3.0 TDI Quattro,Coimbatore,2018,32496,13.22,2967.0,241.4,5.0,45.62,False,False,False,False,False,False,7
1258,Mercedes-Benz E-Class E250 CDI Avantgrade,Delhi,2014,40000,13.0,2143.0,201.1,5.0,24.0,False,False,False,False,False,False,11
1260,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Bangalore,2016,51944,19.27,2143.0,170.0,5.0,32.5,False,False,False,False,False,False,9
1288,Audi TT 2.0 TFSI,Kochi,2014,14262,9.9,1984.0,207.8,2.0,27.35,False,True,False,False,False,False,11
1299,Land Rover Discovery 4 TDV6 SE,Delhi,2013,65000,11.8,2993.0,180.0,7.0,34.0,False,False,False,False,True,False,12
1302,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,57456,17.68,1968.0,174.33,5.0,21.56,False,False,False,False,False,False,11
1303,BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,22.48,1995.0,190.0,5.0,24.68,False,False,False,False,False,False,13
